round,deviceId,trust,access
3,d16,52,ALLOWED
3,d17,50,ALLOWED
3,d18,35,DENIED
3,d19,46,DENIED
3,d20,100,ALLOWED
3,d21,0,DENIED
3,d22,54,ALLOWED
3,d23,1,DENIED
3,d24,84,ALLOWED
3,d25,58,ALLOWED
3,d26,69,ALLOWED
3,d27,29,DENIED
3,d28,15,DENIED
3,d29,78,ALLOWED
3,d30,81,ALLOWED
3,d31,48,DENIED
3,d32,100,ALLOWED
3,d33,7,DENIED
3,d34,97,ALLOWED
3,d35,38,DENIED
3,d36,54,ALLOWED
3,d37,0,DENIED
3,d38,10,DENIED
3,d39,40,DENIED
3,d40,48,DENIED
3,d41,21,DENIED
3,d42,13,DENIED
3,d43,33,DENIED
3,d44,59,ALLOWED
3,d45,51,DENIED
3,d46,39,DENIED
3,d47,7,DENIED
3,d48,88,ALLOWED
3,d49,31,DENIED
3,d50,10,DENIED
3,d51,0,DENIED
3,d52,83,ALLOWED
3,d53,54,ALLOWED
3,d54,50,ALLOWED
3,d55,42,DENIED
3,d56,81,ALLOWED
3,d57,0,DENIED
3,d58,0,DENIED
3,d59,79,ALLOWED
3,d60,6,DENIED
3,d61,38,DENIED
3,d62,1,DENIED
3,d63,0,DENIED
3,d64,0,DENIED
3,d65,28,DENIED
3,d66,19,DENIED
3,d67,39,DENIED
3,d68,27,DENIED
3,d69,91,DENIED
3,d70,11,DENIED
3,d71,100,ALLOWED
3,d72,53,ALLOWED
3,d73,0,DENIED
3,d74,49,DENIED
3,d75,100,DENIED
3,d76,72,ALLOWED
3,d77,40,DENIED
3,d78,53,ALLOWED
3,d79,78,ALLOWED
3,d80,0,DENIED
3,d81,0,DENIED
3,d82,59,ALLOWED
3,d83,0,DENIED
3,d84,31,DENIED
3,d85,72,ALLOWED
3,d86,20,DENIED
3,d87,59,DENIED
3,d88,85,ALLOWED
3,d89,23,DENIED
3,d90,22,DENIED
3,d91,48,DENIED
3,d92,55,ALLOWED
3,d93,58,DENIED
3,d94,0,DENIED
3,d95,18,DENIED
3,d96,0,DENIED
3,d97,95,ALLOWED
3,d98,34,DENIED
3,d99,85,DENIED
3,d100,14,DENIED
4,d1,0,DENIED
4,d2,100,ALLOWED
4,d3,54,DENIED
4,d4,13,DENIED
4,d5,8,DENIED
4,d6,0,DENIED
4,d7,100,ALLOWED
4,d8,100,ALLOWED
4,d9,0,DENIED
4,d10,37,DENIED
4,d11,84,ALLOWED
4,d12,71,ALLOWED
4,d13,31,DENIED
4,d14,89,ALLOWED
4,d15,100,DENIED
4,d16,32,DENIED
4,d17,52,ALLOWED
4,d18,15,DENIED
4,d19,55,ALLOWED
4,d20,100,ALLOWED
4,d21,0,DENIED
4,d22,61,ALLOWED
4,d23,0,DENIED
4,d24,93,ALLOWED
4,d25,38,DENIED
4,d26,78,ALLOWED
4,d27,38,DENIED
4,d28,0,DENIED
4,d29,79,ALLOWED
4,d30,83,ALLOWED
4,d31,57,ALLOWED
4,d32,100,ALLOWED
4,d33,10,DENIED
4,d34,100,ALLOWED
4,d35,18,DENIED
4,d36,34,DENIED
4,d37,0,DENIED
4,d38,18,DENIED
4,d39,41,DENIED
4,d40,50,ALLOWED
4,d41,1,DENIED
4,d42,0,DENIED
4,d43,33,DENIED
4,d44,39,DENIED
4,d45,31,DENIED
4,d46,40,DENIED
4,d47,15,DENIED
4,d48,95,ALLOWED
4,d49,11,DENIED
4,d50,11,DENIED
4,d51,0,DENIED
4,d52,89,ALLOWED
4,d53,34,DENIED
4,d54,58,ALLOWED
4,d55,22,DENIED
4,d56,87,ALLOWED
4,d57,0,DENIED
4,d58,0,DENIED
4,d59,83,ALLOWED
4,d60,0,DENIED
4,d61,18,DENIED
4,d62,0,DENIED
4,d63,0,DENIED
4,d64,0,DENIED
4,d65,8,DENIED
4,d66,0,DENIED
4,d67,41,DENIED
4,d68,7,DENIED
4,d69,97,DENIED
4,d70,0,DENIED
4,d71,100,ALLOWED
4,d72,33,DENIED
4,d73,0,DENIED
4,d74,51,ALLOWED
4,d75,100,DENIED
4,d76,79,ALLOWED
4,d77,41,DENIED
4,d78,59,ALLOWED
4,d79,82,ALLOWED
4,d80,0,DENIED
4,d81,0,DENIED
4,d82,39,DENIED
4,d83,0,DENIED
4,d84,11,DENIED
4,d85,78,ALLOWED
4,d86,0,DENIED
4,d87,39,DENIED
4,d88,86,ALLOWED
4,d89,30,DENIED
4,d90,31,DENIED
4,d91,49,DENIED
4,d92,58,ALLOWED
4,d93,58,DENIED
4,d94,0,DENIED
4,d95,0,DENIED
4,d96,0,DENIED
4,d97,99,ALLOWED
4,d98,37,DENIED
4,d99,88,DENIED
4,d100,0,DENIED
5,d1,0,DENIED
5,d2,100,ALLOWED
5,d3,60,DENIED
5,d4,0,DENIED
5,d5,0,DENIED
5,d6,0,DENIED
5,d7,100,ALLOWED
5,d8,100,ALLOWED
5,d9,0,DENIED
5,d10,17,DENIED
5,d11,87,ALLOWED
5,d12,80,ALLOWED
5,d13,11,DENIED
5,d14,93,ALLOWED
5,d15,100,DENIED
5,d16,12,DENIED
5,d17,60,ALLOWED
5,d18,0,DENIED
5,d19,60,ALLOWED
5,d20,100,ALLOWED
5,d21,0,DENIED
5,d22,70,ALLOWED
5,d23,0,DENIED
5,d24,100,ALLOWED
5,d25,18,DENIED
5,d26,87,ALLOWED
5,d27,42,DENIED
5,d28,0,DENIED
5,d29,79,ALLOWED
5,d30,89,ALLOWED
5,d31,60,ALLOWED
5,d32,100,ALLOWED
5,d33,11,DENIED
5,d34,100,ALLOWED
5,d35,0,DENIED
5,d36,14,DENIED
5,d37,0,DENIED
5,d38,25,DENIED
5,d39,41,DENIED
5,d40,58,ALLOWED
5,d41,0,DENIED
5,d42,0,DENIED
5,d43,36,DENIED
5,d44,19,DENIED
5,d45,11,DENIED
5,d46,49,DENIED
5,d47,24,DENIED
5,d48,98,ALLOWED
5,d49,0,DENIED
5,d50,16,DENIED
5,d51,0,DENIED
5,d52,93,ALLOWED
5,d53,14,DENIED
5,d54,58,ALLOWED
5,d55,2,DENIED
5,d56,95,ALLOWED
5,d57,0,DENIED
5,d58,0,DENIED
5,d59,86,ALLOWED
5,d60,0,DENIED
5,d61,0,DENIED
5,d62,0,DENIED
5,d63,0,DENIED
5,d64,0,DENIED
5,d65,0,DENIED
5,d66,0,DENIED
5,d67,44,DENIED
5,d68,0,DENIED
5,d69,98,DENIED
